"product_name","product_link","category_name","category_link"
"JBL PRX812W 12"" Two-Way Full-Range PA Speaker w/ Wi-Fi","https://www.storedj.com.au/jbl-prx812w-12-two-way-full-range-pa-speaker-w-wi-fi","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Europort EPS500MP3 500W Portable PA System w/ MP3","https://www.storedj.com.au/behringer-europort-eps500mp3-500w-portable-pa-system-w-mp3","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TS215A 15"" Truesonic 1100W Powered PA Speaker","https://www.storedj.com.au/alto-ts215a-15-truesonic-1100w-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL EON610 10"" Two-Way Powered Reinforcement Speaker","https://www.storedj.com.au/jbl-eon610-10-two-way-powered-reinforcement-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DXR15 1100w 15"" Powered PA Speaker","https://www.storedj.com.au/yamaha-dxr15-1100w-15-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer B112D Pack with Stands Deal","https://www.storedj.com.au/behringer-b112d-pack-with-stands-deal","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Eurolive B615D Active 15"" PA Speaker","https://www.storedj.com.au/behringer-eurolive-b615d-active-15-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Denon Axis 12 Active 1000W 12"" 2-Way Coaxial Speaker System w/ Digital Control","https://www.storedj.com.au/denon-axis-12-active-1000w-12-2-way-coaxial-speaker-system-w-digital-control","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TX15 15"" Truesonic 1200W Powered PA Speaker Pack w/ Stands & Cables","https://www.storedj.com.au/alto-tx15-15-truesonic-1200w-powered-pa-speaker-pack-w-stands-and-cables","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DXR8 1100w 8"" Powered PA Speaker","https://www.storedj.com.au/yamaha-dxr8-1100w-8-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer B115D Pack with Stands Deal","https://www.storedj.com.au/behringer-b115d-pack-with-stands-deal","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Eurolive F1220D Active 12"" Monitor Speaker","https://www.storedj.com.au/behringer-eurolive-f1220d-active-12-monitor-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"PreSonus AIR12 12"" 1200W 2-Way Active Sound Reinforcement Loudspeaker","https://www.storedj.com.au/presonus-air12-12-1200w-2-way-active-sound-reinforcement-loudspeaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DSR115 1300w 15"" Powered PA Speaker","https://www.storedj.com.au/yamaha-dsr115-1300w-15-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"DAP Audio Splash 12A 12"" Active PA Speaker System","https://www.storedj.com.au/dap-audio-splash-12a-12-active-pa-speaker-system","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DSR112 1300w 12"" Powered PA Speaker","https://www.storedj.com.au/yamaha-dsr112-1300w-12-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TX12 12"" Truesonic 1200W Powered PA Speaker Pack w/ Stands & Cables","https://www.storedj.com.au/alto-tx12-12-truesonic-1200w-powered-pa-speaker-pack-w-stands-and-cables","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TS210 10"" Truesonic 2200W Active PA Speaker Pack w/ Stands & Cables","https://www.storedj.com.au/alto-ts210-10-truesonic-2200w-active-pa-speaker-pack-w-stands-and-cables","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Yamaha DSR215 1300w Dual 15"" Powered PA Speaker","https://www.storedj.com.au/yamaha-dsr215-1300w-dual-15-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"QSC KW153 1000w 3-Way 15"" Powered PA Speaker","https://www.storedj.com.au/qsc-kw153-1000w-3-way-15-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Eurolive B212D Active 12"" PA Speaker (Black)","https://www.storedj.com.au/behringer-eurolive-b212d-active-12-pa-speaker-black","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto TS115W 15"" Truesonic 800W Powered PA Speaker w/ Wireless","https://www.storedj.com.au/alto-ts115w-15-truesonic-800w-powered-pa-speaker-w-wireless","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
