"product_name","product_link","category_name","category_url"
"Planet Waves XLR8 String Lubricant & Cleaner","https://www.kosmic.com.au/planet-waves-xlr8-string-lubricant-cleaner","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Airturn Duo","https://www.kosmic.com.au/airturn-duo","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Brighton Clip on Head Stock Tuner - Assorted colours","https://www.kosmic.com.au/brighton-clip-on-head-stock-tuner-assorted-colours","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Bugera EI34-4 Power Pentode Valve/Tubes (4Pack)             ","https://www.kosmic.com.au/bugera-ei34-4-power-pentode-valve-tubes-4pack","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario ECG24 Chromes Flat Wound Jazz Light 11-50 Electric Guitar Strings","https://www.kosmic.com.au/daddario-ecg24-chromes-flat-wound-jazz-light-11-50","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"D'Addario EJ15 Extra Light 10-47 Phosphor Bronze Acoustic Strings","https://www.kosmic.com.au/daddario-ej15-extra-light-10-47-phosphor-bronze-ac","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"DiMarzio Cliplock Quick Release 2"" Guitar Strap Black","https://www.kosmic.com.au/dimarzio-cliplock-quick-release-2-guitar-strap-bla","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"DSL 2.5"" Leather Guitar Strap Padded Garment Black/Black       ","https://www.kosmic.com.au/dsl-2.5-leather-guitar-strap-padded-garment-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Dunlop Clip-on Microphone Stand Pick Holder 7""","https://www.kosmic.com.au/dunlop-clip-on-microphone-stand-pick-holder-7","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Dunlop Standard Nylon .60mm Grey Guitar Picks 12-Pack","https://www.kosmic.com.au/dunlop-standard-nylon-.60mm-grey-guitar-picks-12-p","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Dunlop Standard Tortex .50mm Red Guitar Picks 12-Pack","https://www.kosmic.com.au/dunlop-standard-tortex-.50mm-red-guitar-picks-12-p","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Elixir Acoustic Nanoweb 10-47 Light 12-String Guitar Strings ","https://www.kosmic.com.au/elixir-acoustic-nanoweb-10-47-light-12-string-guit","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Elixir Acoustic Nanoweb Phos Bronze Light-Medium 12-56","https://www.kosmic.com.au/elixir-acoustic-nanoweb-phos-bronze-light-medium-1","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Elixir Nanoweb Custom Light 9-46 Electric Guitar Strings","https://www.kosmic.com.au/elixir-nanoweb-custom-light-9-46-electric-guitar-s","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Elixir Nanoweb Light 10-46 Electric Guitar Strings","https://www.kosmic.com.au/elixir-nanoweb-light-10-46-electric-guitar-strings","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball 2624 8-String Skinny Top Heavy Bottom","https://www.kosmic.com.au/ernie-ball-2624-8-string-skinny-top-heavy-bottom","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Aluminium Bronze Acoustic 10-50 Strings","https://www.kosmic.com.au/ernie-ball-aluminium-bronze-acoustic-10-50-strings","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Camo Heavy Guitar Picks 12-Pack ","https://www.kosmic.com.au/ernie-ball-camo-heavy-guitar-picks-12-pack","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Camo Medium Guitar Picks 12-Pack","https://www.kosmic.com.au/ernie-ball-camo-medium-guitar-picks-12-pack","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Electric Tone Pack","https://www.kosmic.com.au/ernie-ball-electric-tone-pack","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball M-Steel Super Slinky 9-42","https://www.kosmic.com.au/ernie-ball-m-steel-super-slinky-9-42","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball RPS Power Slinky 11-48 Electric Guitar Strings","https://www.kosmic.com.au/ernie-ball-rps-power-slinky-11-48-electric-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ernie Ball Super Slinky 9-42 Electric Guitar Strings","https://www.kosmic.com.au/ernie-ball-super-slinky-9-42-electric-guitar-strin~1956","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Fender Performance Cable 10' Right-Angled Black ","https://www.kosmic.com.au/fender-performance-cable-10-right-angled-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Fender Rock-On Touring Medium .73mm Picks 12-Pack ","https://www.kosmic.com.au/fender-rock-on-touring-medium-.73mm-picks-12-pack","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Guitar Gear GGT301 Headstock Guitar Tuner","https://www.kosmic.com.au/guitar-gear-ggt301-headstock-guitar-tuner","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Ibanez RGAIX7FM TGF","https://www.kosmic.com.au/ibanez-rgaix7fm-tgf","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop Formula 65 Guitar Polish","https://www.kosmic.com.au/jim-dunlop-formula-65-guitar-polish","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop J119 Gels String Winder","https://www.kosmic.com.au/jim-dunlop-j119-gels-string-winder","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop Light 12-54 Phosphor Bronze Acoustic Strings","https://www.kosmic.com.au/jim-dunlop-light-12-54-phosphor-bronze-acoustic-st","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop Medium-Light 11-52 Phosphor Bronze Acoustic Strings","https://www.kosmic.com.au/jim-dunlop-medium-light-11-52-phosphor-bronze-acou","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Jim Dunlop S5000 Spring Loaded Pick Holder","https://www.kosmic.com.au/jim-dunlop-s5000-spring-loaded-pick-holder","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Kosmic Sound $50 Gift Voucher","https://www.kosmic.com.au/kosmic-sound-50-gift-voucher","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Planet Waves Basic Classic Leather Guitar Strap - Black","https://www.kosmic.com.au/planet-waves-basic-classic-leather-guitar-strap-bl","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Planet Waves Micro Fiber Polish Cloth","https://www.kosmic.com.au/planet-waves-micro-fiber-polish-cloth","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Planet Waves Pro-Winder With Cutter","https://www.kosmic.com.au/planet-waves-pro-winder-with-cutter","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Planet Waves Shine Spray Cleaner & Maintainer","https://www.kosmic.com.au/planet-waves-shine-spray-cleaner-maintainer","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Stagg 3m Instrument Cable w/Angled Plug N Series","https://www.kosmic.com.au/stagg-3m-instrument-cable-w-angled-plug-n-series","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Yamaha APX500III Black","https://www.kosmic.com.au/yamaha-apx500iii-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
" EMG 81 Humbucker Black","https://www.kosmic.com.au/emg-81-humbucker-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Bass","https://www.kosmic.com.au/10-easy-lessons-bass","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Blues Guitar","https://www.kosmic.com.au/10-easy-lessons-blues-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Classical Guitar","https://www.kosmic.com.au/10-easy-lessons-classical-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Guitar","https://www.kosmic.com.au/10-easy-lessons-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Guitar For Young Beginner","https://www.kosmic.com.au/10-easy-lessons-guitar-for-young-beginner","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"10 Easy Lessons Keyboard Young Beginners","https://www.kosmic.com.au/10-easy-lessons-keyboard-young-beginners","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"1001 Guitar Tips And Tricks","https://www.kosmic.com.au/1001-guitar-tips-and-tricks","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Australian Songs For Easy Guitar","https://www.kosmic.com.au/101-australian-songs-for-easy-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Australian Songs For Easy Guitar Vol. 2","https://www.kosmic.com.au/101-australian-songs-for-easy-guitar-vol.-2","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Australian Songs For Easy Guitar Vol. 3","https://www.kosmic.com.au/101-australian-songs-for-easy-guitar-vol.-3","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar","https://www.kosmic.com.au/101-songs-for-easy-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"101 Songs For Easy Guitar 2","https://www.kosmic.com.au/101-songs-for-easy-guitar-2","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
