"product_name","product_link","category_link"
"Esteve Model 7 Classical Guitar","https://www.ghmusic.com.au/esteve-model-7.html","https://www.ghmusic.com.au/guitars?limit=all"
"Yamaha CG122MS Classical Guitar","https://www.ghmusic.com.au/yamaha-cg122ms.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender 70L 80/20 Bronze Acoustic Strings - Light ","https://www.ghmusic.com.au/fender-70l-80-20-bronze-acoustic-strings-light.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender 60L Phosphor Bronze Acoustic Strings - Light","https://www.ghmusic.com.au/fender-60l-phosphor-bronze-acoustic-strings-light.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender 3250L Nickel-Plated Steel Bullet-End Electric Guitar Strings - Light","https://www.ghmusic.com.au/fender-3250l-nickel-plated-steel-bullet-end-electric-guitar-strings-light.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender 250L Super 250 Nickel-Plated Steel Electric Guitar Strings - Light","https://www.ghmusic.com.au/fender-250l-super-250-nickel-plated-steel-electric-guitar-strings-light.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Affinity Fat Strat HSS Guitar","https://www.ghmusic.com.au/affinity-fat-strat-hhs.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Bullet Strat ""Arctic White"" Guitar","https://www.ghmusic.com.au/bullet-strat-arctic-white.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Bullet Strat ""Black"" Guitar","https://www.ghmusic.com.au/bullet-strat-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Standard Telecaster  ""Vintage Blonde"" Guitar","https://www.ghmusic.com.au/standard-telecaster-vintage-blonde.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Vintage Modified Mustang ""Vintage White"" Guitar","https://www.ghmusic.com.au/vintage-modified-mustang-vintage-white.html","https://www.ghmusic.com.au/guitars?limit=all"
"Squier Vintage Modified Deluxe ""Black"" Guitar","https://www.ghmusic.com.au/vintage-modified-deluxe-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender FM-100 Mandolin Pack","https://www.ghmusic.com.au/fender-fm-100-mandolin-pack.html","https://www.ghmusic.com.au/guitars?limit=all"
"Gretsch G9200 Boxcar Round-Neck Resonator","https://www.ghmusic.com.au/gretsch-g9200-boxcar-round-neck-resonator.html","https://www.ghmusic.com.au/guitars?limit=all"
